Date,price
12/3/2019,145.330002
13/3/2019,143.490005
14/3/2019,140.240005
15/3/2019,141.910004
18/3/2019,139.179993
19/3/2019,141.550003
20/3/2019,143.899994
21/3/2019,143.990005
22/3/2019,139
25/3/2019,142.100006
26/3/2019,137.449997
27/3/2019,133.350006
28/3/2019,137.639999
29/3/2019,138.800003
1/4/2019,140.059998
2/4/2019,142.550003
3/4/2019,143.820007
4/4/2019,140.270004
5/4/2019,141.130005
8/4/2019,142.279999
9/4/2019,141.339996
10/4/2019,143.570007
11/4/2019,141.800003
12/4/2019,144.949997
15/4/2019,138.550003
16/4/2019,139.410004
17/4/2019,137.690002
18/4/2019,139.649994
22/4/2019,135.919998
23/4/2019,138.789993
24/4/2019,135.619995
25/4/2019,132.820007
26/4/2019,138.25
29/4/2019,138.139999
30/4/2019,135.770004
1/5/2019,136.5
2/5/2019,132.699997
3/5/2019,136.169998
6/5/2019,137
7/5/2019,136.059998
8/5/2019,137.710007
9/5/2019,134.830002
10/5/2019,137.850006
13/5/2019,132.389999
14/5/2019,133.580002
15/5/2019,136.429993
16/5/2019,135.429993
17/5/2019,132.759995
20/5/2019,131.520004
21/5/2019,132.240005
22/5/2019,127.089996
23/5/2019,121.580002
24/5/2019,124.650002
28/5/2019,124.360001
29/5/2019,125.669998
30/5/2019,127.610001
31/5/2019,125.580002
3/6/2019,122.809998
4/6/2019,127.610001
5/6/2019,131
6/6/2019,135.410004
7/6/2019,140.080002
10/6/2019,139.229996
11/6/2019,138.600006
12/6/2019,142.5
13/6/2019,144.850006
14/6/2019,144.589996
17/6/2019,149.5
18/6/2019,147.009995
19/6/2019,149.300003
20/6/2019,149.770004
21/6/2019,148.309998
24/6/2019,150.039993
25/6/2019,144.160004
26/6/2019,142.100006
27/6/2019,143.25
28/6/2019,146.220001
1/7/2019,145.289993
2/7/2019,146.429993
3/7/2019,145.860001
5/7/2019,146.309998
8/7/2019,144.289993
9/7/2019,147.240005
10/7/2019,151.360001
11/7/2019,151.460007
12/7/2019,152.300003
15/7/2019,154.270004
16/7/2019,151.449997
17/7/2019,148.089996
18/7/2019,145.199997
19/7/2019,144.110001
22/7/2019,146.759995
23/7/2019,148.740005
24/7/2019,152.339996
25/7/2019,152.970001
26/7/2019,155.380005
29/7/2019,153.889999
30/7/2019,155.199997
31/7/2019,154.940002
1/8/2019,155.610001
2/8/2019,153.470001
5/8/2019,150
6/8/2019,151.440002
7/8/2019,151.779999
8/8/2019,157.660004
9/8/2019,155.009995
12/8/2019,151.070007
13/8/2019,152.820007
14/8/2019,147.149994
15/8/2019,145.369995
16/8/2019,147.740005
19/8/2019,150.100006
20/8/2019,148.110001
21/8/2019,145.759995
22/8/2019,140.949997
23/8/2019,138.020004
26/8/2019,137.820007
27/8/2019,133.880005
28/8/2019,132.669998
29/8/2019,136.350006
30/8/2019,134.949997
3/9/2019,133.410004
4/9/2019,133.449997
5/9/2019,135.679993
6/9/2019,136.059998
9/9/2019,134.100006
10/9/2019,130
11/9/2019,132
12/9/2019,128.550003
13/9/2019,130.630005
16/9/2019,128.169998
17/9/2019,129.080002
18/9/2019,127.980003
19/9/2019,124.389999
20/9/2019,120.699997
